Russian,Occidental,Extra Info
промежуток,intervall,<B>R: </B>intervall<BR> промежуток
вмешиваться,intervenir,<B>R: </B>inter|ven|ir<BR> вмешиваться
кишка,intestine,кишка
интимный,intim,<B>R: </B>intim<BR> интимный<BR>-ita'
приятель|дружок,intimo,"приятель, дружок"
интонацией|выражать,intonar,интонацией выражать
между|внутри,intra,"<B>R: </B>intra<BR> между, внутри<BR>(-o)"
вступать,intrar,вступать
интриговать|строить|козни,intrigar,"<B>R: </B>intrigar<BR> интриговать, строить козни"
вводить|представлять,introducter,"<B>R: </B>intro|duct|er<BR> вводить, представлять (кого-либо)"
предчувствовать,intuiter,"<B>R: </B>intuit|er<BR>предчувствовать<BR>-ion, -iv."
интуиция,intuition,интуиция
наводнять,inundar,<B>R: </B>in|und|ar<BR> наводнять
вторгаться|захватывать|оккупировать,invader,"<B>R: </B>in|vad|er<BR><I><B>s</B></I> вторгаться, захватывать, оккупировать<BR>-ion, -iv"
искалеченный|выведенный|из|строя,invalid,"<B>R: </B>in|val|id<BR> искалеченный, выведенный из строя"
обругать,invectivar • invectiva • invectivat,обругать
закутывать|завёртывать,invelopar,"<B>R: </B>in|velop|ar<BR> закутывать, завёртывать"
инвентарь,inventarie,<B>R: </B>inventari|e<BR> инвентарь
изобретать,inventer,"<B>R: </B>inventer<BR> изобретать<BR>-ion, -oi, -osi, -is."
наоборот,invers • inversi,<B>R: </B>invers<BR>наоборот
исследовать,investigar,<B>R: </B>in|vestig|ar<BR> исследовать
помещать|вкладывать|деньги,investir,"<B>R: </B>in|vesti|r<BR> помещать, вкладывать деньги<BR>-tion"
посылать,inviar • invia • inviat,<B>R: </B>in|vi|ar<BR>посылать<BR>(syn. <A href='bword://misser'>misser</A>)
зависть,invidie,<B>R: </B>invidi|e<BR> зависть
приглашать,invitar,<B>R: </B>invita|r<BR> приглашать
йод,iod,<B>R: </B>iod<BR> йод
орошать,ir(r)igar,<B>R: </B>ir(r)iga|r<BR><I><B>*</B></I> орошать<BR>-tor
орошение|ирригация|обводнение,irigar,"орошение, ирригация, обводнение"
ирис,iris,"<B>R: </B>iris<BR> ирис<BR>-ar 1)flore, 2) membrane in ocul, 3) arc in ciel"
ирония,ironie,<B>R: </B>ironi|e<BR> ирония
возмущать|раздражать|сердить,irritar • iritar,"<B>R: </B>ir(r)ita|r<BR>возмущать, раздражать, сердить"
раздражение,irritation • iritation • irritar,раздражение
изолировать,isolar,"<B>R: </B>isola|r<BR> изолировать<BR>-tion, --or"
перешеек,istme,<B>R: </B>istm|e<BR> перешеек
оно|это,it,"<B>R: </B>it<BR> оно, это<BR>pron. 3 pers. neutr."
повторять,iterar,"<B>R: </B>iter|ar<BR><I><B>*</B></I> повторять<BR>-tiv, syn. repetar."
путеводитель,itinerarie,путеводитель
слоновая|кость,ivor,<B>R: </B>ivor<BR> слоновая кость
уже,ja,<B>R: </B>ja<BR> уже
лежать,jacer,<B>R: </B>jac|er<BR> лежать
кляча|заезженная|лошадь|кляча|шлюха|шутл|ведьма|негодница,jade,"1) кляча, заезженная лошадь, кляча <BR>2) шлюха <BR>3) шутл. ведьма, негодница"
ягуар,jaguar,<B>R: </B>jaguar<BR> ягуар
веха,jalon,<B>R: </B>jalon<BR> веха
ревнивый,jalus • jalusi,"<B>R: </B>jalus<BR>ревнивый<BR>-ie, -ita'"
когда-либо,jama',<B>R: </B>jama'<BR> когда-либо
окорок|ветчина,jambon,"<B>R: </B>jambon<BR> окорок, ветчина"
январь,januar,<B>R: </B>januar<BR> январь
пальто,jaque,<B>R: </B>jaqu|e<BR> пальто<BR>-ete
сад,jardin,"<B>R: </B>jardin<BR> сад<BR>-agie, -ero, -iere, -al, -eria, -age, -atr"
зоологический,jardin zoologic,зоологический gardins
жаргон,jargon,<B>R: </B>jargon<BR> жаргон
жасмин,jasmin(e),<B>R: </B>jasmin(e)<BR> жасмин
яшма,jaspe,<B>R: </B>jasp|e<BR> яшма
тех|кидать|бросать,jecter,"<B>R: </B>ject|er<BR> тех. кидать, бросать<BR>= jettar in tecnical e scientian paroles; ab-; de--, -ion, -or; con-; e-; in-; inter-; ob-; pro-; tra-; --orie etc."
бросать|кидать,jettar,"<B>R: </B>jett|ar<BR> бросать, кидать"
шутка,joca • joc,"<B>R: </B>joc<BR>шутка<BR>-os, -ar, -ard, -one."
жокей,jokey,<B>R: </B>jokey<BR> жокей
красивый,jolli,<B>R: </B>jolli<BR> красивый
жонглировать,jonglar,<B>R: </B>jongl|ar<BR> жонглировать
джонка,jonke,<B>R: </B>jonk|e<BR> джонка<BR>= nave chines
дневной,jorne,дневной
четверг,jovedi',<B>R: </B>jovedi'<BR> четверг
жизнерадостный,jovial,<B>R: </B>jovial<BR> жизнерадостный
радость,joya,"<B>R: </B>joy|a<BR> радость<BR>-ar, -se, -os"
радоваться|ликовать,jubilar,"<B>R: </B>jubil|ar<BR> радоваться, ликовать<BR>-ada, -ation, -eo, -ario."
судить,judicar,судить
судья,judico,"<B>R: </B>judic|o<BR> судья<BR>-al, -ar, -ament, -ie, -iar, -iament, -ios."
наслаждаться,juir,<B>R: </B>jui|r<BR> наслаждаться
июль,juli',<B>R: </B>juli'<BR> июль
можжевельник,junevere,<B>R: </B>junever|e<BR> можжевельник
июнь,junio,<B>R: </B>juni|o<BR> июнь
младший,junior,<B>R: </B>junio|r<BR><I><B>*</B></I> младший<BR>= li plu yun.
вместе,junt,"<B>R: </B>junt<BR> вместе<BR>-er (con--, des--, ad--, -e, -ion, -iv, -or, -ura)"
соединять|связывать,junter,"<B>R: </B>junt|er<BR>соединять, связывать<BR>con-"
юбка,jup,<B>R: </B>jup<BR> юбка
юбка,jupon,юбка
клясться,jurar,<B>R: </B>jura|r<BR> клясться
право,jure,<B>R: </B>jur|e<BR> право
юриспруденция,jurisprudentie,<B>R: </B>jurisprudenti|e<BR> юриспруденция
газета,jurnale,"<B>R: </B>jurnal|e<BR> газета<BR>-ist, --ica."
справедливый|точный|который|прав,just,"<B>R: </B>just<BR> справедливый, точный, который прав"
справедливость|право,justicie,"справедливость, право"
ждут,jute,<B>R: </B>jut|e<BR> ждут
юбка,juup,юбка
драгоценный|камень,juvel,<B>R: </B>juvel<BR> драгоценный камень
#VALUE!,kil,<A href='bword://kilo'>kilo</A>
кило-,kilo,"<B>R: </B>kilo-<BR>кило-<BR>-gramm, -metre, -watt etc."
киоск,kiosk,<B>R: </B>kiosk<BR> киоск
кнут,knut,<B>R: </B>knut<BR> кнут
поределенный|артикль,l(i) • li • l • l',<B>R: </B>l(i)<BR>поределенный артикль<BR>articul definit
её|ей,la,"<B>R: </B>la<BR> её, ей<BR>casu obliqui de illa."
слеза,la'crime • lacrime,"<B>R: </B>la'crim<BR>слеза<BR>-ar, -os, -iere,"
тонкая|пластинка|тонкий|слой|лист,la'mine,"<B>R: </B>la'min|e<BR> тонкая пластинка, тонкий слой, лист (напр., металла)<BR>-ar, -agie, -eria, -uore; fin plate de metal."
камень,la'pid,"<B>R: </B>la'pid<BR><I><B>*</B></I> камень<BR>-ari, -os, -ar, -ation, -ificar. Syn. petre = li minerale, rocc = li geologic formagie, lapid = li singli pezze."
сторона,la'tere,<B>R: </B>la'ter|e<BR><I><B>*</B></I> сторона<BR>-al
губа,labie,<B>R: </B>labi|e<BR> губа<BR>-al
неустойчивый,labil,<B>R: </B>labil<BR><I><B>*</B></I> неустойчивый<BR>-ita' contrari a stabil
лабиринт,labirinte,<B>R: </B>labirint|e<BR> лабиринт
работать,laborar,<B>R: </B>labora|r<BR> работать
работа,labore,работа
лакей,lacayo,лакей
лак,lacc,"<B>R: </B>lacc<BR> лак<BR>-ar, -ator(ia)"
петля|узел,lace,"<B>R: </B>lace<BR> петля, узел<BR>-ear"
разрывать,lacerar,<B>R: </B>lacera|r<BR><I><B>*</B></I> разрывать
ящерица,lacert,<B>R: </B>lacert<BR> ящерица
лаконичный,laconic,<B>R: </B>lacon|ic<BR> лаконичный
простокваша,lact cal'at,<B>R: </B>lact cal'at<BR> простокваша
молока,lacte,"<B>R: </B>lact|e<BR> молока<BR>-ar, -ant, -atori, -ifer, -in, -osi, -agie, -age, -iere, -era, -eria"
интервал|перерыв,lacune,"интервал, перерыв"
жесть,lade • lad,<B>R: </B>lad<BR>жесть
озеро,lago,<B>R: </B>lag|o<BR> озеро
лагуна,lagune • lagun,<B>R: </B>lagun<BR>лагуна
мирской|светский|нецерковный,laic,"<B>R: </B>la|ic<BR> мирской, светский, нецерковный"
лама,lama,"<B>R: </B>lama<BR> лама (животное и монах)<BR>1) camel american, 2) prestro Tibetan."
лезвие,lame,"<B>R: </B>lam|e<BR> лезвие<BR>(lam-ette, lam-elle)"
вопить|жаловаться,lamentar,"<B>R: </B>lament|ar<BR> вопить, жаловаться"
лампа,lamp,<B>R: </B>lamp<BR> лампа
минога,lampred,<B>R: </B>lampred<BR> минога
шерсть,lan,"<B>R: </B>lan<BR> шерсть<BR>-osi, -at, -ut, -al, -in, -atr, -age, -erie, -eria, -ero, -al'a"
страна,land,<B>R: </B>land<BR> страна
коляска|ландо,landau,коляска ландо
шерсть,lane,шерсть
вянуть|слабеть|чахнуть,languir,"вянуть, слабеть, чахнуть"
лангуст,langust,<B>R: </B>langust<BR> лангуст
запускать|бросать|метать,lansar • lansa • lansat • lansant,"запускать, бросать, метать"
копьё,lanse • lans,<B>R: </B>lans<BR>копьё<BR>-ar = 1) jettar lanse 2) metter in move
фонарь,lanterne,<B>R: </B>lantern|e<BR> фонарь
пух,lanuge,<B>R: </B>lanuge<BR> пух
тряпка|заплатка,lapp,"<B>R: </B>lapp<BR> тряпка, заплатка<BR>-ar, -era, -erie, -al'a, -ear."
сало,lard,<B>R: </B>lard<BR> сало
бекон,larde,бекон
широкий,larg,<B>R: </B>larg<BR> широкий
личинка,larve,<B>R: </B>larv|e<BR> личинка<BR>(zool)
гортань|кадык,larynge,"<B>R: </B>laryng|e<BR> гортань, кадык"
похотливый|сладострастный,lasciv,"похотливый, сладострастный"
пускать|оставлять,lassar,"<B>R: </B>lass|ar<BR> пускать, оставлять"
широта,latitu'dine • latitudine,<B>R: </B>latitu'din|e<BR>широта (геогр.)
туалет,latrine,<B>R: </B>latrin|e<BR> туалет (помещение)
планка|рейка,latte,"<B>R: </B>latt|e<BR> планка, рейка"
письмо,lattre,письмо (послание)
салат-латук,latug,салат-латук
латунь,latun,<B>R: </B>latun<BR> латунь
беседка,laube,<B>R: </B>laub|e<BR> беседка
хвалить,laudar,<B>R: </B>laud|ar<BR> хвалить
лавр,laure,<B>R: </B>laur|e<BR> лавр
лава,lava,<B>R: </B>lava<BR> лава
мыть|стирать,lavar,"<B>R: </B>lav|ar<BR> мыть, стирать<BR>-ator, -era, -atoria, -eria, -atura, -agie, -ament, -ation, -uore."
лавнда,lavende,<B>R: </B>lavend|e<BR> лавнда
слабый|нетугой|вялый,lax,"<B>R: </B>lax<BR> слабый, нетугой, вялый"
его,le,его
лизать|лакать,leccar,"<B>R: </B>lecc|ar<BR> лизать, лакать"
урок,lecion,<B>R: </B>lecion<BR> урок
лекция,lection,"<B>R: </B>lection<BR> лекция<BR>syn. discurs, raport, declamation"
повреждать,leder,<B>R: </B>leder<BR><I><B>s</B></I> повреждать
читать,leer,<B>R: </B>le|er<BR> читать
завещать|давать|поручение,legar,"<B>R: </B>leg|ar<BR> завещать, давать поручение<BR>-ato, -ator, -atario; de-ar, --ato, --ation; 1) dar per testamente, 2) charjar, dar comisse."
закон,lege,закон <A href='bword://ley'>ley</A>
легенда,legende,<B>R: </B>legend|e<BR> легенда<BR>-ari
легион,legion,"<B>R: </B>legion<BR> легион<BR>-ario, -al"
овощи,legume,"<B>R: </B>legum|e<BR> овощи<BR>-i, -ini, -ine, --osi, -ero, -iera, -eria"
овощи,legumes,овощи
медленный,lent,<B>R: </B>lent<BR> медленный
веснушка|пятнышко|на|коже,lentige,"веснушка, пятнышко на коже"
чечвица,lentill,<B>R: </B>lentill<BR> чечвица
чечевица,lentille,чечевица
лев,leon,"<B>R: </B>leon<BR> лев<BR>-a, -essa, -in, -atr, -ello, -iere, -ero"
леопард,leopard,<B>R: </B>leopard<BR> леопард
леопард,leoparde,леопард
проказа,lepra,"<B>R: </B>lepr|a<BR> проказа (мед.)<BR>-os, --oria."
их|им,les,"<B>R: </B>les<BR> их, им<BR>accusativ-dativ de ili."
лист,lett-linage,лист
кровать|постель,lette,"<B>R: </B>lett|e<BR> кровать, постель"
письмо,lettre,письмо
чтение,letura,чтение
лейтенант,leutenant,<B>R: </B>leutenant<BR> лейтенант
подымать,levar,"<B>R: </B>lev|ar<BR> подымать<BR>sub--, e--, e-ator, --uore"
дрожжи|закваска|стимул,leven,"дрожжи, закваска; стимул"
рычаг,levere,рычаг
лёгкий,levi,<B>R: </B>levi<BR> лёгкий (по весу)
слегка,levimen,слегка
левый,levul • le'vul,<B>R: </B>levul<BR>левый
лексика,lexico,<B>R: </B>lexic|o<BR> лексика<BR>-al.
закон,ley,"<B>R: </B>ley<BR> закон<BR>-al, --isar, ---at-ion, --ita', -itim, --ar, --at-ion,--ist, -is-lat-iv."
определённый|артикль,li,<B>R: </B>li<BR> определённый артикль<BR>articul definit
предел|лимит,li'mite,"предел, лимит"
свободный,liber,"<B>R: </B>liber<BR> свободный<BR>-al, --ism, --isar, -ar, -at-ion."
свобода,liberti' • liberti,свобода
либрация,libration,<B>R: </B>libration<BR> либрация (астрон.)<BR>(astr.)
книга,libre,<B>R: </B>libre<BR> книга
книжный|шкаф,libre-scaf,книжный шкаф
быть|позволенным,licer,"<B>R: </B>lic|er<BR> быть позволенным<BR>= esser permisset; -entie, --at."
лишай,lichen,<B>R: </B>lichen<BR> лишай
заяц,lievre,<B>R: </B>lievr|e<BR> заяц
лига|связь,liga,"лига, связь"
связывать,ligar,"<B>R: </B>lig|ar<BR> связывать<BR>-, -t-or, ---ia, --ura"
связь|лигатура,ligatura,"связь, лигатура (муз.)"
дерево|дрова,ligne,"<B>R: </B>lign|e<BR> дерево (материал), дрова<BR>-i, -in, -atr, -ut, -os, -un."
сирень,lila,сирень
сирень,lilas,<B>R: </B>lilas<BR> сирень
лилия,lilie,<B>R: </B>lilie<BR> лилия
напильник,lim,"<B>R: </B>lim<BR> напильник<BR>-ar, -ero, -ator, -eria, -atura, -al'a, -agie."
обтачивать,limar,обтачивать (нпильником)
предел,limit,<B>R: </B>limit<BR> предел
ограничивать,limitar • limita • limitat,ограничивать
лимон,limon,лимон
прозрачный,limpid,<B>R: </B>limpid<BR> прозрачный
лён|полотно|мор|Линь,lin,"<B>R: </B>lin<BR> 1) лён, полотно, 2) мор. Линь<BR>-atr, -age, --ero, ---ia, -in, -osi, -iera."
рысь,lince,<B>R: </B>linc|e<BR> рысь (зоол.)
линия,linea,"<B>R: </B>line|a<BR> линия<BR>-al, --e, -ar, -ari, a-ar, ---ment."
жаргон,linguache • linguach,жаргон
манера|речи,linguage,манера речи
язык,lingue,"<B>R: </B>lingu|e<BR> язык<BR>-al, -aci, -arda; -ist, --ic, --ica."
линза|чечевица,linse,"<B>R: </B>lins|e<BR> линза, чечевица<BR>opt."
жидкий|текучий,liquer,"<B>R: </B>liqu|er<BR> жидкий, текучий<BR>= esser liquid, fluent; -ore, -id, --ar, ---tion."
ликёр,liqueur,<B>R: </B>liqueur<BR> ликёр<BR>(trincage)
жидкий,liquid,жидкий
список,liste,<B>R: </B>list|e<BR> список
молитва|с|просбами|к|Богу|литания,litanie,"<B>R: </B>litani|e<BR> молитва с просбами к Богу, литания"
#VALUE!,literes,"<B>R: </B>litere|s<BR> (литература)<BR>bel scientie e arte, -ari, -at, --ur, --or."
камень,litho,"<B>R: </B>litho<BR> -лит, камень<BR>= lapidi, petri"
литр,litre,<B>R: </B>litr|e<BR> литр<BR>(mesure de volu'mes)
немного,litt,немного
буква|литера|письмо,litter • li'ttere,"<B>R: </B>litter<BR>буква, литера<HR>письмо (<I>неправ.</I>) <A href='bword://lettre'>lettre</A>"
литература,litteratura,литература
литургия,liturgi'e,<B>R: </B>liturgi'|e<BR> литургия<BR>-ic.
доставлять|поставлять,liverar,"<B>R: </B>liver|ar<BR> доставлять, поставлять<BR>-ant, -ator, -antie, -ation, -agie"
блеклый,livid,<B>R: </B>livid<BR> блеклый
ливрея,livre',<B>R: </B>livre'<BR> ливрея<BR>-at.
шёлк,lixive,"<B>R: </B>lixiv|e<BR> шёлк<BR>-ar, -age."
лоб,lob,<B>R: </B>lob<BR> ? лоб<BR>(anat.)
место,loc,"<B>R: </B>loc<BR> место<BR>-al, --ita', ---isar, ---ation; -ar, co-ar, trans-ar, -atario."
местный,local,местный
место,loco,место <A href='bword://loc'>loc</A>
саранча|кузнечик,locust,"<B>R: </B>locust<BR> саранча, кузнечик"
логарифм,logaritme,логарифм
ложа,loge,<B>R: </B>loge<BR> ложа
квартира|жилище,logi' • logi • logн,"<B>R: </B>logi'<BR>квартира, жилище<BR>-ar, -ant, -ero."
жить|проживать,logiar • logia • logiat,"жить, проживать"
длинный|долгий|вдоль,long,"<B>R: </B>long<BR> длинный, долгий; a ~ = вдоль<BR>-ore; a — ."
долгота,longitudine,долгота
продолжительность,longore,продолжительность
далеко|далёкий,lontan,"<B>R: </B>lontan<BR> далеко, далёкий"
их,lor,<B>R: </B>lor<BR> их (притяжат.)<BR>pron. poss.
жребий,lot,"<B>R: </B>lot<BR> жребий<BR>-e, -a, -ar, -erie, -o."
лояльный,loyal,"<B>R: </B>loyal<BR> лояльный<BR>-ist, -ita'."
потусторнний,lterior,<B>R: </B>lterior<BR> потусторнний
нанимать|снимать|арендовать,luar,"нанимать, снимать, арендовать"
похабный,lubric,<B>R: </B>lubric<BR> похабный
смазывать,lubrificar,смазывать
свет,luce,свет
светить,lucer,"<B>R: </B>luc|er<BR> светить<BR>-e, -id, --ar, --ation, -ent, -ement."
пика,lucio,пика (рыба)
извлекать|пользу|выгоду,lucrar,"<B>R: </B>lucr|ar<BR><I><B>*</B></I> извлекать пользу, выгоду<BR>= profitar"
бороться,luctar,<B>R: </B>luct|ar<BR> бороться
опровергать|оспаривать,lucte,"опровергать, оспаривать"
траур|скорбь,luctu,"<B>R: </B>luctu<BR><I><B>*</B></I> траур, скорбь"
игра|игрушка,lude,"игра, игрушка"
играть,luder,"<B>R: </B>lud|er<BR><I><B>s</B></I> играть (муз.)<BR>-e, -ard, -ero, -ent, pre-ie, pos-ie, a-, co-."
вид|парусника,lugre,<B>R: </B>lugr|e<BR> ~e = вид парусника<BR>mar. specie de nave.
баюкать,lular,"<B>R: </B>lul|ar<BR> баюкать<BR>-uore, -icant."
убаюкивать|укачивать,lullar,"убаюкивать, укачивать"
ляжка,lumbe,ляжка
земляной|червь,lumbric,земляной червь
завтрак,lunch,завтрак
прнедельник,lundi'(e),<B>R: </B>lundi'|(e)<BR> прнедельник
луна,lune • lun,"<B>R: </B>lun<BR>луна<BR>-ari, -al, -at-ic."
#VALUE!,lunedi',lundo
лупа,lupe,<B>R: </B>lup|e<BR><I><B>*</B></I> лупа<BR>= linse biconvex.
люпин|волчан,lupine,"<B>R: </B>lupin|e<BR> люпин, волчан<BR>(bot.)"
волк,lupo,"<B>R: </B>lup|o<BR> волк<BR>-a, -iere"
хмель,lupul,<B>R: </B>lupul<BR> хмель
волчанка|туберкулез|кожи,lupus,"<B>R: </B>lupus<BR> волчанка, туберкулез кожи<BR>(mrd.) un maladie"
соблазнять|искушать,lurar,"соблазнять, искушать"
приманка,lure,<B>R: </B>lur|e<BR> приманка<BR>-ar
игрок,lusor,игрок
люстра,lustr,<B>R: </B>lustr<BR> люстра
лютня,lute,<B>R: </B>lute<BR> лютня
наветренная|сторона|лавировать,luv,"<B>R: </B>luv<BR> наветренная сторона, ~ear = лавировать<BR>mar. -ar, aci; -ear"
вывихнуть,luxar,<B>R: </B>lux|ar<BR> вывихнуть
роскошь|люкс,luxurie • luxu,"<B>R: </B>luxu|(rie)<BR>роскошь, люкс<BR>-os."
лицей,lyce' • lyce,<B>R: </B>lyce'<BR>лицей
лимфа,lymfe,<B>R: </B>lymfe<BR> лимфа
лира,lyre,<B>R: </B>lyr|e<BR> лира
но|а|же,ma,"<B>R: </B>ma<BR> но, а,же"
пятно,ma'cul • macul,"<B>R: </B>ma'cul<BR>пятно<BR>-ar, -os, in-at."
миндаль,ma'ndul • mandul,<B>R: </B>ma'ndul<BR>миндаль
край|граница,ma'rgin • margin,"<B>R: </B>ma'rgin<BR>край, граница"
мрачный,macabri,мрачный
макака,macaco,<B>R: </B>macac|o<BR> макака<BR>= simio
макароны,macarone,<B>R: </B>macaron|e<BR> макароны
вымачивать,macerar • macera • macerat,вымачивать
жевать,machar • macha • machat,"<B>R: </B>mach|ar<BR>жевать<BR>(masticar) -ator (dente), -uore (osse), -agie."
машина,machine,"<B>R: </B>machin|e<BR> машина<BR>-al, -ero, -erie, -agie, -ist."
скумбрия|макрель,macrel,"<B>R: </B>macrel<BR> скумбрия, макрель<BR>(pisc)"
макулатура,maculatur,<B>R: </B>maculatur<BR> макулатура
мадонна,madonna,<B>R: </B>madonna<BR> мадонна
каменистый|коралл,madrepore,<B>R: </B>madrepore<BR> каменистый коралл
мадригал,madrigal,<B>R: </B>madrigal<BR> мадригал (муз.)
магазин,magasin,"<B>R: </B>magasin<BR> магазин<BR>-ar, in-ar, -agie, -al, -ero."
магистраль,magistrale,<B>R: </B>magistral|e<BR> магистраль
магистрат,magistrate,<B>R: </B>magistrat|e<BR> магистрат
магистр,magistro,<B>R: </B>magistr|o<BR>магистр (титул)
великодушный,magna'nim • magnanim,великодушный
магнит,magnet,"<B>R: </B>magnet<BR> магнит<BR>-ic, -ism, -isar, ---tion, --ero."
великолепный|величественный|щедрый,magnific,"<B>R: </B>magnific<BR> великолепный, величественный; щедрый<BR>-entie (titul)"
маг,mago,"<B>R: </B>mag|o<BR> маг<BR>-ie, -ic, --al, --ian, -iar."
тощий,magri,<B>R: </B>magr|i<BR> тощий
красное|дерево,mahagon,<B>R: </B>mahagon<BR> красное дерево
май,mai • may,<B>R: </B>mai<BR>май
ландыш,maiflor,<B>R: </B>maiflor<BR> ландыш
кукуруза,mais,<B>R: </B>mais<BR> кукуруза
величественный,majestic,величественный
величество,majestie,"<B>R: </B>majest|ie<BR> величество<BR>-ic, -osi."
майолика,majolica,майолика
майор|бо'льший,major,"<B>R: </B>major<BR> майор, бо'льший<BR>-ita', -atu, --ario; = 1) superior, plu grand, plu etosi, 2) rang militari inter capitan e colonel."
большинство,majorite' • majorite,большинство
дурной|скверный,mal,"<B>R: </B>mal<BR> дурной, скверный<BR>-evolent, --ie, -edition, -dir, -herbe, -icie, --os, -content, -fortun, -aventur, -in."
петля,mal'e • malle,<B>R: </B>mal'|e<BR>петля
больной,malad,"<B>R: </B>malad<BR> больной<BR>-ie, -iv, -ita', -era, a-ar-se."
болезнь,maladie,болезнь
малярия,malaria,<B>R: </B>malaria<BR>малярия (мед.)
несмотря|на,malgre' • malgre,<B>R: </B>malgre'<BR>несмотря на
сорняк,malherbe,сорняк
злоба,malicie,злоба
солод,malt,<B>R: </B>malt<BR> солод
обижать|плохо|обращаться,maltractar • maltracta • maltractat,"обижать, плохо обращаться"
мама,mama',<B>R: </B>mama'<BR> мама
груди|сосок,mamme,"<B>R: </B>mamm|e<BR> груди, сосок<BR>-ar, -one, -ard, -ifer, -ali."
недостаток|недостача|отсутсвие,manca,"недостаток, недостача, отсутсвие"
недоставать,mancar • manca • mancat,<B>R: </B>manca|r<BR>недоставать<BR>(in manca de)
рукав|манжет,manche • manchette,"<B>R: </B>manch|e<BR>рукав, ~ette = манжет<BR>-ette"
уполномочить|поручать,mandar • manda • mandat,"<B>R: </B>manda|r<BR>уполномочить, поручать<BR>-t, --ario"
мандарин,mandarine,<B>R: </B>mandarin|e<BR> мандарин<BR>= fruct orangeatri.
мандарин,mandarino,<B>R: </B>mandarin|o<BR> мандарин (китайский чиновник)<BR>= dignitario chines
мандолина,mandoline,"<B>R: </B>mandolin|e<BR> мандолина<BR>-ar, -ist, -ero"
миндаль,mandul • mandule,миндаль
оставлять,maner,"<B>R: </B>man|er<BR><I><B>*</B></I> ? оставлять<BR>re-ent, per-ntie, im-ent = restar"
катать|лощить,manglar,"катать (бельё), лощить (бумагу)"
ролик|для|белья,mangle,<B>R: </B>mangl|e<BR> ролик для белья ?
многие,mani,<B>R: </B>mani<BR> многие<BR>syn. = pluri.
мания,mani'e • manie,"<B>R: </B>mani'|e<BR>мания<BR>-ac(o), --all; clepto-, mono-."
манера,manier,<B>R: </B>manier<BR> манера<BR>-al.
манера,maniere,манера
манифест,manifest,<B>R: </B>manifest<BR> манифест
манипулировать,manipular • manipula • manipulat,<B>R: </B>manipul|ar<BR>манипулировать
рукоятка,manivelle,<B>R: </B>manivell|e<BR> рукоятка
продовольствие,manjage,продовольствие
есть|кушать,manjar • manja • manjat,"<B>R: </B>manja|r<BR>есть, кушать<BR>-al'a, -age, -ator, --ia, -ada, -abil, -uore."
гостиная,manjatoria,гостиная
мужчина|муж,mann,"<B>R: </B>mann<BR> мужчина, муж (выс. cт.)<BR>-ic"
манна,manna,<B>R: </B>manna<BR> манна
манёвр,manovre,"<B>R: </B>manovr|e<BR> манёвр<BR>-ar, -agie, -ada."
смягчать|умерять,mansar • mansa • mansat,"смягчать, умерять"
мансарда,mansarde,<B>R: </B>mansard|e<BR> мансарда<BR>= chambre sub tegmente.
ручной,mansi,ручной(скучный)
плащ,mantel • mantele,плащ
шинель|плащ|кожух,manto,"<B>R: </B>mant|o<BR> шинель, плащ, кожух<BR>-elle, -ille."
рука,manu,"<B>R: </B>manu<BR> рука<BR>-al, -scrit, -tension, -ar, -pression, in-ar."
руководство|инструкция,manuale,"руководство (документ), инструкция"
ручка|рукоятка,manuette,"ручка, рукоятка"
мануфактура,manufactura,<B>R: </B>manufactur|a<BR> мануфактура
марка,marca,<B>R: </B>marc|a<BR> марка
марш,marcha,марш
маршал,marchal,<B>R: </B>marchal<BR> маршал<BR>(titul)
маршировать|идти,marchar • marcha • marchat,"<B>R: </B>marcha|r<BR>маршировать, идти"
марципан,marcipan,<B>R: </B>marcipan<BR> марципан
вторник,mardi' • mardн • mardi,<B>R: </B>mardi'<BR>вторник
море,mare • mar,"<B>R: </B>mar<BR>море<BR>-in, -itim; sub-in, trans-in, ultra-in; -ine, --ero, --ist, -ear, -ea, -eada; -svin, can marin."
поток,marea,поток
мергель|рухляк|известковая|глина;,marg,<B>R: </B>marg<BR> мергель; рухляк; известковая глина;
поле,margine,поле (страницы)
мариновать,marinar • marina • marinat,"<B>R: </B>marina|r<BR>мариновать<BR>-ada, -agie"
марионетка,marionette,<B>R: </B>marionett|e<BR> марионетка
жена,marita,жена
супруг,marito,"<B>R: </B>marit|o<BR> супруг<BR>-al, -ar, -se, -agie, -ante (comp. nuptia)"
мрамор,marmor,"<B>R: </B>marmor<BR> мрамор<BR>-ar, -ant, -in, -os, -ifer."
сурок,marmot,<B>R: </B>marmot<BR> сурок
мародёрствовать,marodar • maroda • marodat,"<B>R: </B>marod|ar<BR>мародёрствовать<BR>-ero, -al'a"
благородный|каштан,maron,<B>R: </B>maron<BR> благородный каштан<BR>= castan'e nobil
причуда|каприз,marotte,"<B>R: </B>marotte<BR> причуда, каприз"
маркиз,marques,<B>R: </B>marques<BR> маркиз<BR>(titul) var. Markes
март,marte,<B>R: </B>mart|e<BR> март
молоток,martel • martell,"<B>R: </B>martel(l)<BR>молоток<BR>-ar, -ero, -eria."
куница,martro,<B>R: </B>martr|o<BR> куница
мученик,martyro • martyr,<B>R: </B>martyr|(o)<BR>мученик<BR>-ie
маска,masc,"<B>R: </B>masc<BR> маска<BR>-ar, -arade."
самец,mascul,<B>R: </B>mascul<BR> самец<BR>-in
